PerceptionValue,MaxSpeed,Layout,GroupsStart,GroupsX1,GroupsX2,GroupsEnd
1.5,3.0,20260908_013309_layout_33,7,3,3,5
1.5,3.0,20260908_013309_layout_34,2,3,3,8
1.5,3.0,20260908_013309_layout_35,2,5,5,4
1.5,3.0,20260908_013309_layout_36,4,6,6,5
1.5,3.0,20260908_013309_layout_37,3,2,2,5
1.5,3.0,20260908_013309_layout_38,5,3,3,8
1.5,3.0,20260908_013309_layout_39,1,2,2,6
1.8,1.5,20260908_013309_layout_00,2,3,3,3
1.8,1.5,20260908_013309_layout_01,3,3,3,2
1.8,1.5,20260908_013309_layout_02,4,2,2,2
1.8,1.5,20260908_013309_layout_03,3,3,3,3
1.8,1.5,20260908_013309_layout_04,3,3,3,4
1.8,1.5,20260908_013309_layout_05,3,3,3,3
1.8,1.5,20260908_013309_layout_06,2,1,2,3
1.8,1.5,20260908_013309_layout_07,3,3,3,3
1.8,1.5,20260908_013309_layout_08,2,2,2,3
1.8,1.5,20260908_013309_layout_09,4,2,2,5
1.8,1.5,20260908_013309_layout_10,4,5,5,3
1.8,1.5,20260908_013309_layout_11,5,4,4,4
1.8,1.5,20260908_013309_layout_12,2,2,2,3
1.8,1.5,20260908_013309_layout_13,2,3,3,5
1.8,1.5,20260908_013309_layout_14,5,3,3,5
1.8,1.5,20260908_013309_layout_15,4,3,3,3
1.8,1.5,20260908_013309_layout_16,2,2,2,2
1.8,1.5,20260908_013309_layout_17,3,2,2,2
1.8,1.5,20260908_013309_layout_18,3,1,1,3
1.8,1.5,20260908_013309_layout_19,3,2,2,3
1.8,1.5,20260908_013309_layout_20,2,2,2,3
1.8,1.5,20260908_013309_layout_21,5,3,3,3
1.8,1.5,20260908_013309_layout_22,2,3,3,3
1.8,1.5,20260908_013309_layout_23,3,3,3,2
1.8,1.5,20260908_013309_layout_24,4,4,4,4
1.8,1.5,20260908_013309_layout_25,4,3,5,5
1.8,1.5,20260908_013309_layout_26,3,2,2,3
1.8,1.5,20260908_013309_layout_27,4,3,3,3
1.8,1.5,20260908_013309_layout_28,5,3,3,2
1.8,1.5,20260908_013309_layout_29,3,2,2,2
1.8,1.5,20260908_013309_layout_30,3,2,2,2
1.8,1.5,20260908_013309_layout_31,4,3,3,3
